epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.772,1.69511,2.67355,1.9287,0.08822,0.30245,0.04743,0.01512,2.25121,3.91475,2.55072,0.07921,0.00021,0.00021
2,317.133,1.48111,2.0016,1.69678,0.65869,0.37097,0.38372,0.15103,1.98541,5.53029,2.4208,0.0574215,0.000421486,0.000421486
3,454.084,1.46547,1.84822,1.70638,0.485,0.83446,0.74068,0.39582,1.73343,7.84173,2.0653,0.0356243,0.00062426,0.00062426
4,594.98,1.38882,1.70371,1.63978,0.54876,0.55898,0.38988,0.20351,1.69329,2.79829,2.27103,0.0138183,0.000818322,0.000818322
5,767.975,1.45591,1.69654,1.66144,0.59552,0.83223,0.78135,0.37293,1.64824,3.38631,2.10396,0.0009208,0.0009208,0.0009208
6,913.97,1.42507,1.67983,1.65159,0.78131,0.64358,0.89644,0.50597,1.44237,1.98258,1.81315,0.000901,0.000901,0.000901
7,1061.64,1.40609,1.55517,1.59517,0.80523,0.71051,0.84384,0.45285,1.50489,1.71215,1.86416,0.0008812,0.0008812,0.0008812
8,1199.73,1.37914,1.4418,1.57382,0.74154,0.7985,0.8265,0.43928,1.47112,2.12216,1.82309,0.0008614,0.0008614,0.0008614
9,1338.23,1.36436,1.44876,1.5746,0.66989,0.72272,0.7891,0.4642,1.49114,1.68982,1.78331,0.0008416,0.0008416,0.0008416
10,1491.61,1.3731,1.46476,1.58521,0.76069,0.92254,0.95183,0.57213,1.38235,1.24402,1.67767,0.0008218,0.0008218,0.0008218
11,1650.88,1.31202,1.38057,1.54708,0.76463,0.91756,0.94077,0.5648,1.40049,1.12261,1.69188,0.000802,0.000802,0.000802
12,1810.48,1.28646,1.32748,1.50613,0.60646,0.83441,0.86536,0.51819,1.40591,1.47888,1.64876,0.0007822,0.0007822,0.0007822
13,1984.56,1.29315,1.30675,1.54614,0.81648,0.85412,0.9296,0.59008,1.32703,1.20683,1.65166,0.0007624,0.0007624,0.0007624
14,2153.17,1.32445,1.30113,1.54485,0.80861,0.88475,0.88764,0.50328,1.50244,1.10777,1.76713,0.0007426,0.0007426,0.0007426
15,2304.15,1.27852,1.25818,1.49589,0.92713,0.87724,0.96897,0.59804,1.30277,1.05607,1.60167,0.0007228,0.0007228,0.0007228
16,2449.02,1.24198,1.19298,1.48618,0.93948,0.91847,0.95993,0.53542,1.54842,1.12427,1.8904,0.000703,0.000703,0.000703
17,2592.99,1.23975,1.22341,1.48773,0.94339,0.96503,0.96883,0.62854,1.27968,0.87014,1.56062,0.0006832,0.0006832,0.0006832
18,2737.41,1.27207,1.18895,1.49443,0.92164,0.89298,0.95488,0.61494,1.20175,0.86209,1.47384,0.0006634,0.0006634,0.0006634
19,2882.2,1.24069,1.13536,1.45477,0.95315,0.98117,0.98467,0.58189,1.46183,0.75783,1.74666,0.0006436,0.0006436,0.0006436
20,3026.21,1.23552,1.2014,1.45462,0.97076,0.97635,0.98717,0.7028,1.06093,0.72457,1.38698,0.0006238,0.0006238,0.0006238
21,3170.57,1.22059,1.10934,1.47326,0.9041,0.9568,0.98401,0.60908,1.3061,0.74198,1.58543,0.000604,0.000604,0.000604
22,3314.7,1.22461,1.11963,1.45471,0.94255,0.93922,0.974,0.63143,1.25841,0.79239,1.54259,0.0005842,0.0005842,0.0005842
23,5426.75,1.18534,1.02862,1.39832,0.89995,0.95931,0.97323,0.6205,1.24705,0.7589,1.49935,0.0005644,0.0005644,0.0005644
24,5570.58,1.18639,1.04918,1.43947,0.86793,0.97248,0.97183,0.63566,1.275,0.76873,1.52251,0.0005446,0.0005446,0.0005446
25,5715.01,1.15697,1.024,1.40294,0.87691,0.97893,0.96286,0.64684,1.18503,0.75892,1.44875,0.0005248,0.0005248,0.0005248
26,5857.54,1.16977,1.03502,1.42876,0.91887,0.95163,0.97644,0.6681,1.16239,0.69286,1.44603,0.000505,0.000505,0.000505
27,6001,1.08547,0.96878,1.36124,0.90917,0.944,0.96232,0.64017,1.20562,0.7462,1.47554,0.0004852,0.0004852,0.0004852
28,6146.7,1.1242,0.9266,1.36964,0.86458,0.93698,0.9531,0.64355,1.18016,0.76514,1.4677,0.0004654,0.0004654,0.0004654
29,6290.51,1.13134,0.90594,1.39382,0.88864,0.92886,0.94918,0.56445,1.46261,0.8422,1.72905,0.0004456,0.0004456,0.0004456
30,6434.76,1.12203,0.98122,1.38553,0.93233,0.97346,0.98673,0.65501,1.22888,0.68152,1.5278,0.0004258,0.0004258,0.0004258
31,6578.71,1.11974,0.91557,1.38528,0.94401,0.97438,0.98507,0.67942,1.18558,0.67698,1.47771,0.000406,0.000406,0.000406
32,6722.47,1.08085,0.85526,1.3395,0.92301,0.96908,0.97964,0.67666,1.15246,0.65454,1.42264,0.0003862,0.0003862,0.0003862
33,6866.33,1.11006,0.90063,1.36804,0.94909,0.97782,0.98801,0.65011,1.24727,0.59304,1.51757,0.0003664,0.0003664,0.0003664
34,7010.26,1.11826,0.92249,1.37365,0.94932,0.96351,0.98372,0.68941,1.07916,0.56435,1.35597,0.0003466,0.0003466,0.0003466
35,7309.21,1.09586,0.88086,1.3541,0.93901,0.9713,0.98526,0.68281,1.16516,0.57789,1.4419,0.0003268,0.0003268,0.0003268
36,7453.41,1.06549,0.86924,1.36458,0.91503,0.97311,0.9774,0.65048,1.25079,0.61109,1.53752,0.000307,0.000307,0.000307
37,7601.69,1.09994,0.90215,1.36244,0.93063,0.9795,0.94901,0.64414,1.15928,0.58921,1.4604,0.0002872,0.0002872,0.0002872
38,7746.25,1.05123,0.85019,1.34387,0.9283,0.97379,0.9795,0.64238,1.24891,0.644,1.51597,0.0002674,0.0002674,0.0002674
39,7891.26,1.02842,0.82025,1.3347,0.93665,0.96706,0.98749,0.68505,1.12126,0.65225,1.41836,0.0002476,0.0002476,0.0002476
40,8029.55,1.03752,0.83527,1.32691,0.92066,0.98865,0.98881,0.7075,1.08779,0.56761,1.38954,0.0002278,0.0002278,0.0002278
41,10415.5,0.93389,0.65997,1.33201,0.93229,0.95735,0.98356,0.69361,1.12231,0.6059,1.42595,0.000208,0.000208,0.000208
42,10555.4,0.91949,0.56881,1.31069,0.94645,0.98621,0.98836,0.71087,1.10956,0.52667,1.42905,0.0001882,0.0001882,0.0001882
43,10698,0.87953,0.52906,1.29147,0.93397,0.97245,0.96476,0.68913,1.09982,0.54544,1.42416,0.0001684,0.0001684,0.0001684
44,10840,0.86901,0.49093,1.27593,0.94083,0.97154,0.95347,0.67813,1.08615,0.55262,1.40315,0.0001486,0.0001486,0.0001486
45,10985.1,0.84592,0.47637,1.2523,0.93714,0.97643,0.95749,0.66437,1.12395,0.5795,1.42525,0.0001288,0.0001288,0.0001288
46,11128.3,0.84135,0.46365,1.25482,0.93285,0.98913,0.96825,0.68217,1.11379,0.56914,1.41871,0.000109,0.000109,0.000109
47,11268.1,0.83501,0.46541,1.24029,0.94016,0.98548,0.97393,0.69069,1.09831,0.55851,1.40255,8.92e-05,8.92e-05,8.92e-05
48,11409.2,0.84092,0.45359,1.24344,0.94159,0.98377,0.97403,0.70768,1.06258,0.54297,1.37723,6.94e-05,6.94e-05,6.94e-05
49,11550.8,0.78967,0.44368,1.20574,0.93625,0.99113,0.97409,0.70206,1.0915,0.53971,1.40287,4.96e-05,4.96e-05,4.96e-05
50,12632.3,0.82553,0.46641,1.20939,0.94919,0.98936,0.97414,0.70204,1.08595,0.52285,1.40038,2.98e-05,2.98e-05,2.98e-05
